t,action,vx,vy,vz,x,y,z,collided
0.55,hover,0.0,0.0,0.0,0.0,0.0,-2.6862430572509766,1
1.09,forward,3.0,0.0,0.0,0.25415852665901184,3.8221315001862877e-11,-2.854534387588501,0
1.66,forward,3.0,0.0,0.0,1.082177996635437,3.5854716418093346e-10,-2.985301971435547,0
2.2,hover,0.0,0.0,0.0,2.095716714859009,3.024926975569997e-09,-3.0666396617889404,0
2.74,right,2.0,-1.5,0.0,2.791471481323242,-0.11302483081817627,-3.130880117416382,0
3.29,left,2.0,1.5,0.0,3.6106066703796387,-0.2865698039531708,-3.232741594314575,0
3.84,left,2.0,1.5,0.0,4.541282653808594,-0.04050116986036301,-3.3201870918273926,0
4.38,left,2.0,1.5,0.0,5.49405574798584,0.4607726037502289,-3.3386447429656982,0
4.91,hover,0.0,0.0,0.0,6.319303512573242,0.9827054142951965,-3.4571034908294678,0
5.45,forward,3.0,0.0,0.0,6.99165153503418,1.2775746583938599,-3.5568010807037354,0
6.0,hover,0.0,0.0,0.0,7.794841289520264,1.4232383966445923,-3.6263253688812256,0
6.55,hover,0.0,0.0,0.0,8.25977611541748,1.4924832582473755,-3.6901135444641113,0
7.08,descend,0.0,0.0,1.0,8.50936508178711,1.5290168523788452,-3.29959774017334,0
7.62,forward,3.0,0.0,0.0,8.910280227661133,1.5448206663131714,-3.2862513065338135,0
8.15,descend,0.0,0.0,1.0,9.618271827697754,1.5514482259750366,-3.0365211963653564,0
8.69,ascend,0.0,0.0,-1.0,9.99341106414795,1.5542621612548828,-3.245314359664917,0
9.22,forward,3.0,0.0,0.0,10.354745864868164,1.5555088520050049,-3.5759036540985107,0
9.75,forward,3.0,0.0,0.0,11.212596893310547,1.5562015771865845,-3.7292680740356445,0
10.28,forward,3.0,0.0,0.0,12.39234733581543,1.5565249919891357,-3.771773338317871,0
10.82,left,2.0,1.5,0.0,13.662047386169434,1.669999361038208,-3.837209939956665,0
11.36,left,2.0,1.5,0.0,14.817070960998535,2.072587728500366,-3.886451005935669,0
11.91,descend,0.0,0.0,1.0,15.772041320800781,2.547703504562378,-3.631067991256714,0
12.45,descend,0.0,0.0,1.0,16.299774169921875,2.8271334171295166,-3.2158219814300537,0
12.99,forward,3.0,0.0,0.0,16.804847717285156,2.949922800064087,-3.220047950744629,0
13.54,descend,0.0,0.0,1.0,17.55002212524414,3.0106329917907715,-2.9579434394836426,0
14.08,left,2.0,1.5,0.0,18.134923934936523,3.1708271503448486,-2.887564182281494,0
14.62,hover,0.0,0.0,0.0,18.735349655151367,3.4903578758239746,-2.9322187900543213,0
15.15,hover,0.0,0.0,0.0,19.077394485473633,3.686033010482788,-2.9777231216430664,0
15.7,hover,0.0,0.0,0.0,19.24603271484375,3.783754587173462,-2.9875946044921875,0
16.24,descend,0.0,0.0,1.0,19.337291717529297,3.836775779724121,-2.5801327228546143,0
16.81,ascend,0.0,0.0,-1.0,19.377269744873047,3.860018253326416,-2.778414726257324,0
17.37,left,2.0,1.5,0.0,19.50042152404785,3.9490036964416504,-3.0731709003448486,0
17.94,ascend,0.0,0.0,-1.0,19.87668800354004,4.2259440422058105,-3.5008957386016846,0
18.48,descend,0.0,0.0,1.0,20.15106773376465,4.428521633148193,-3.4448888301849365,0
19.04,right,2.0,-1.5,0.0,20.487070083618164,4.390161991119385,-3.2894623279571533,0
19.59,forward,3.0,0.0,0.0,21.215787887573242,4.108112335205078,-3.378594160079956,0
20.14,left,2.0,1.5,0.0,22.261337280273438,4.048724174499512,-3.472592830657959,0
